iter	Passed	Remaining
401	18223	47100
402	18272	47064
403	18319	47021
404	18363	46974
405	18408	46928
406	18453	46882
407	18499	46839
408	18544	46791
409	18590	46748
410	18638	46709
411	18686	46670
412	18733	46630
413	18778	46582
414	18824	46539
415	18869	46494
416	18915	46449
417	18960	46403
418	19005	46357
419	19052	46316
420	19099	46274
421	19145	46231
422	19196	46198
423	19242	46155
424	19289	46113
425	19334	46067
426	19380	46023
427	19427	45981
428	19471	45932
429	19516	45887
430	19562	45842
431	19608	45797
432	19651	45748
433	19696	45700
434	19741	45654
435	19786	45608
436	19831	45562
437	19875	45513
438	19920	45467
439	19966	45422
440	20010	45375
441	20056	45331
442	20102	45287
443	20147	45240
444	20193	45197
445	20240	45156
446	20287	45112
447	20332	45067
448	20377	45020
449	20424	44978
450	20468	44930
451	20512	44883
452	20558	44837
453	20603	44792
454	20649	44749
455	20695	44703
456	20740	44657
457	20787	44614
458	20832	44568
459	20876	44521
460	20923	44478
461	20966	44429
462	21012	44384
463	21058	44339
464	21104	44295
465	21148	44247
466	21193	44202
467	21244	44167
468	21291	44125
469	21336	44079
470	21381	44034
471	21426	43987
472	21471	43942
473	21516	43894
474	21562	43851
475	21607	43805
476	21653	43760
477	21698	43713
478	21743	43667
479	21788	43621
480	21834	43577
481	21878	43530
482	21922	43481
483	21968	43437
484	22013	43392
485	22059	43346
486	22105	43302
487	22150	43256
488	22196	43212
489	22241	43166
490	22287	43122
491	22335	43082
492	22381	43037
493	22425	42990
494	22470	42944
495	22518	42903
496	22566	42862
497	22612	42817
498	22657	42772
499	22703	42727
500	22747	42680
501	22798	42645
502	22885	42677
503	22940	42649
504	22985	42603
505	23030	42556
506	23075	42509
507	23119	42462
508	23164	42415
509	23209	42368
510	23258	42329
511	23306	42288
512	23352	42244
513	23399	42201
514	23445	42156
515	23490	42110
516	23535	42063
517	23581	42018
518	23628	41975
519	23673	41929
520	23719	41884
521	23762	41835
522	23806	41787
523	23853	41742
524	23898	41696
525	23943	41650
526	23987	41602
527	24032	41556
528	24077	41510
529	24124	41467
530	24169	41419
531	24214	41373
532	24260	41329
533	24304	41281
534	24353	41241
535	24399	41196
536	24444	41151
537	24489	41103
538	24534	41057
539	24579	41011
540	24625	40966
541	24670	40920
542	24715	40874
543	24761	40829
544	24808	40785
545	24852	40738
546	24898	40693
547	24944	40648
548	24988	40601
549	25033	40554
550	25077	40506
551	25123	40462
552	25168	40415
553	25214	40370
554	25263	40329
555	25316	40296
556	25362	40251
557	25407	40205
558	25452	40159
559	25497	40113
560	25543	40067
561	25589	40023
562	25633	39975
563	25678	39929
564	25723	39883
565	25768	39836
566	25815	39792
567	25860	39747
568	25905	39700
569	25950	39653
570	25994	39606
571	26038	39558
572	26083	39511
573	26129	39466
574	26174	39421
575	26221	39378
576	26270	39337
577	26314	39290
578	26361	39246
579	26407	39200
580	26452	39155
581	26497	39108
582	26543	39063
583	26590	39020
584	26636	38976
585	26681	38930
586	26728	38885
587	26772	38838
588	26818	38792
589	26863	38747
590	26908	38701
591	26954	38656
592	27001	38612
593	27046	38566
594	27092	38521
595	27139	38477
596	27184	38431
597	27231	38388
598	27276	38341
599	27326	38303
600	27372	38257
601	27419	38213
602	27465	38168
603	27509	38121
604	27553	38074
605	27598	38027
606	27644	37982
607	27689	37935
608	27734	37889
609	27779	37843
610	27825	37798
611	27871	37753
612	27916	37707
613	27960	37660
614	28006	37615
615	28050	37568
616	28096	37522
617	28141	37476
618	28188	37432
619	28234	37387
620	28280	37343
621	28327	37299
622	28377	37259
623	28423	37214
624	28468	37168
625	28513	37122
626	28560	37078
627	28606	37033
628	28651	36987
629	28697	36942
630	28745	36899
631	28790	36853
632	28835	36807
633	28881	36762
634	28926	36716
635	28972	36671
636	29017	36624
637	29063	36579
638	29108	36533
639	29153	36487
640	29199	36442
641	29248	36400
642	29292	36353
643	29339	36309
644	29386	36265
645	29436	36226
646	29483	36182
647	29529	36136
648	29575	36091
649	29620	36046
650	29665	36000
651	29711	35954
652	29757	35909
653	29802	35863
654	29847	35816
655	29893	35771
656	29937	35724
657	29983	35679
658	30029	35634
659	30074	35588
660	30119	35541
661	30165	35497
662	30212	35452
663	30257	35406
664	30302	35360
665	30348	35314
666	30394	35270
667	30441	35226
668	30485	35178
669	30531	35133
670	30575	35086
671	30620	35040
672	30666	34995
673	30711	34949
674	30755	34902
675	30801	34856
676	30846	34810
677	30892	34765
678	30937	34718
679	30982	34673
680	31026	34626
681	31073	34581
682	31118	34535
683	31163	34489
684	31210	34445
685	31259	34403
686	31304	34357
687	31349	34311
688	31395	34266
689	31443	34223
690	31488	34176
691	31533	34130
692	31579	34086
693	31623	34038
694	31668	33992
695	31713	33946
696	31760	33902
697	31805	33856
698	31851	33811
699	31897	33765
700	31943	33720
701	31990	33676
702	32036	33631
703	32081	33585
704	32126	33538
705	32172	33493
706	32218	33449
707	32265	33404
708	32311	33359
709	32356	33313
710	32401	33266
711	32444	33219
712	32490	33173
713	32534	33127
714	32582	33084
715	32627	33037
716	32672	32991
717	32717	32945
718	32763	32900
719	32809	32854
720	32854	32808
721	32899	32762
722	32943	32715
723	32988	32669
724	33032	32622
725	33076	32575
726	33122	32530
727	33169	32485
728	33215	32441
729	33260	32395
730	33307	32350
731	33353	32305
732	33397	32258
733	33444	32214
734	33492	32171
735	33536	32124
736	33582	32078
737	33626	32032
738	33671	31985
739	33717	31940
740	33762	31894
741	33808	31849
742	33853	31803
743	33899	31757
744	33943	31711
745	33989	31665
746	34034	31619
747	34079	31573
748	34126	31529
749	34172	31484
750	34218	31439
751	34263	31392
752	34310	31349
753	34356	31303
754	34404	31260
755	34449	31214
756	34495	31168
757	34540	31122
758	34585	31076
759	34630	31031
760	34676	30985
761	34722	30940
762	34766	30893
763	34811	30847
764	34857	30802
765	34904	30758
766	34948	30711
767	34994	30665
768	35039	30619
769	35084	30573
770	35132	30530
771	35177	30484
772	35223	30438
773	35268	30392
774	35314	30347
775	35360	30302
776	35407	30258
777	35453	30212
778	35503	30171
779	35549	30126
780	35594	30080
781	35640	30034
782	35685	29988
783	35731	29943
784	35777	29898
785	35823	29852
786	35870	29808
787	35915	29762
788	35959	29715
789	36005	29670
790	36051	29624
791	36097	29579
792	36143	29534
793	36188	29488
794	36234	29443
795	36280	29397
796	36325	29351
797	36371	29306
798	36417	29261
799	36463	29216
800	36508	29170
801	36555	29125
802	36600	29079
803	36646	29034
804	36691	28988
805	36736	28942
806	36780	28895
807	36825	28850
808	36872	28805
809	36917	28759
810	36963	28713
811	37009	28668
812	37053	28622
813	37101	28578
814	37145	28531
815	37191	28486
816	37236	28439
817	37281	28394
818	37327	28348
819	37374	28304
820	37419	28258
821	37463	28211
822	37507	28164
823	37559	28123
824	37605	28078
825	37650	28032
826	37695	27986
827	37741	27941
828	37785	27895
829	37830	27849
830	37876	27803
831	37921	27757
832	37965	27710
833	38010	27664
834	38055	27618
835	38100	27572
836	38147	27528
837	38192	27482
838	38237	27435
839	38283	27390
840	38330	27346
841	38374	27299
842	38420	27254
843	38465	27208
844	38509	27162
845	38556	27117
846	38602	27071
847	38647	27025
848	38693	26980
849	38738	26934
850	38784	26889
851	38829	26843
852	38876	26798
853	38921	26752
854	38966	26706
855	39012	26661
856	39056	26614
857	39101	26569
858	39148	26524
859	39193	26478
860	39237	26432
861	39284	26387
862	39330	26341
863	39375	26295
864	39421	26250
865	39466	26204
866	39510	26158
867	39556	26112
868	39605	26069
869	39651	26024
870	39696	25978
871	39740	25931
872	39786	25886
873	39832	25841
874	39877	25795
875	39922	25749
876	39968	25703
877	40014	25658
878	40061	25613
879	40109	25570
880	40155	25524
881	40201	25479
882	40247	25433
883	40291	25387
884	40336	25341
885	40381	25295
886	40426	25249
887	40471	25203
888	40518	25158
889	40564	25113
890	40609	25067
891	40655	25022
892	40699	24976
893	40744	24929
894	40789	24883
895	40834	24838
896	40879	24792
897	40926	24747
898	40971	24701
899	41017	24655
900	41061	24609
901	41107	24564
902	41153	24519
903	41199	24473
904	41246	24428
905	41291	24383
906	41335	24336
907	41381	24291
908	41427	24245
909	41471	24199
910	41517	24154
911	41562	24107
912	41616	24067
913	41675	24029
914	41729	23988
915	41779	23945
916	41827	23901
917	41875	23856
918	41923	23812
919	41972	23769
920	42020	23725
921	42069	23681
922	42122	23639
923	42171	23596
924	42221	23552
925	42271	23509
926	42320	23465
927	42366	23420
928	42412	23374
929	42456	23328
930	42501	23282
931	42545	23235
932	42592	23190
933	42639	23146
934	42686	23100
935	42731	23054
936	42776	23008
937	42820	22962
938	42865	22916
939	42909	22869
940	42954	22824
941	42998	22777
942	43044	22731
943	43089	22685
944	43136	22640
945	43180	22594
946	43225	22548
947	43271	22502
948	43316	22457
949	43362	22411
950	43409	22366
951	43457	22322
952	43502	22276
953	43549	22231
954	43597	22186
955	43645	22142
956	43695	22098
957	43740	22052
958	43783	22006
959	43829	21960
960	43873	21914
961	43920	21869
962	43966	21823
963	44011	21777
964	44057	21732
965	44103	21686
966	44149	21640
967	44194	21595
968	44240	21549
969	44286	21503
970	44334	21459
971	44380	21413
972	44424	21367
973	44469	21321
974	44514	21275
975	44560	21230
976	44605	21184
977	44650	21138
978	44696	21092
979	44741	21046
980	44786	21000
981	44831	20955
982	44876	20908
983	44922	20863
984	44968	20817
985	45012	20771
986	45058	20725
987	45103	20680
988	45149	20634
989	45196	20589
990	45241	20543
991	45287	20498
992	45334	20453
993	45379	20407
994	45424	20361
995	45469	20315
996	45515	20269
997	45561	20224
998	45606	20178
999	45653	20133
1000	45703	20089
1001	45747	20043
1002	45793	19997
1003	45837	19951
1004	45884	19906
1005	45929	19860
1006	45975	19814
1007	46021	19769
1008	46070	19724
1009	46117	19679
1010	46163	19634
1011	46210	19589
1012	46256	19543
1013	46303	19498
1014	46349	19453
1015	46395	19407
1016	46440	19361
1017	46486	19315
1018	46531	19269
1019	46577	19224
1020	46624	19179
1021	46667	19132
1022	46714	19087
1023	46759	19041
1024	46805	18996
1025	46850	18950
1026	46897	18905
1027	46942	18859
1028	46987	18813
1029	47033	18767
1030	47079	18722
1031	47125	18676
1032	47170	18630
1033	47216	18585
1034	47262	18539
1035	47309	18494
1036	47354	18448
1037	47400	18402
1038	47446	18357
1039	47490	18311
1040	47534	18264
1041	47580	18219
1042	47625	18173
1043	47671	18127
1044	47720	18083
1045	47765	18037
1046	47811	17992
1047	47856	17946
1048	47900	17900
1049	47946	17854
1050	47993	17809
1051	48037	17762
1052	48084	17717
1053	48129	17671
1054	48175	17626
1055	48220	17580
1056	48264	17534
1057	48311	17488
1058	48356	17442
1059	48401	17397
1060	48447	17351
1061	48492	17305
1062	48537	17259
1063	48583	17214
1064	48628	17168
1065	48672	17122
1066	48718	17076
1067	48763	17030
1068	48807	16984
1069	48852	16938
1070	48897	16892
1071	48943	16847
1072	48987	16801
1073	49033	16755
1074	49080	16710
1075	49127	16664
1076	49172	16619
1077	49220	16574
1078	49266	16528
1079	49313	16483
1080	49359	16437
1081	49404	16391
1082	49449	16346
1083	49496	16300
1084	49541	16255
1085	49587	16209
1086	49635	16164
1087	49679	16118
1088	49725	16072
1089	49774	16028
1090	49820	15982
1091	49866	15937
1092	49911	15891
1093	49955	15845
1094	50001	15799
1095	50047	15753
1096	50092	15708
1097	50137	15662
1098	50183	15616
1099	50230	15571
1100	50277	15526
1101	50323	15480
1102	50368	15434
1103	50413	15388
1104	50458	15343
1105	50504	15297
1106	50549	15251
1107	50593	15205
1108	50638	15159
1109	50685	15114
1110	50730	15068
1111	50775	15022
1112	50820	14976
1113	50864	14930
1114	50909	14884
1115	50955	14839
1116	51002	14793
1117	51049	14748
1118	51095	14702
1119	51140	14657
1120	51184	14611
1121	51231	14565
1122	51276	14520
1123	51322	14474
1124	51367	14428
1125	51412	14382
1126	51458	14337
1127	51506	14292
